spider,date_collected,time_collected,treatment1,treatment2,tub,container,date_added,temperature_F,sky,location,noise_location,last_fed,mass_g,mass_mg,sex,adult,molt1,molt2,molt3,molt4,lastmolt,released,died_yn,died,eggs_yn,eggs,eggs_2,longitude,latitude,visible,mapped,web_photo,spider_photo,vibr_sec,web_height_cm,sub_height_cm,place,collection_mass_mg,substrate,Notes,line_date1,silk_date1,line_mass1,silkline_mass1,silk_mass1,tb1date,tb_1,tb2date,tb_2,tb3date,tb_3,tb4date,tb_4,tb5date,tb_5,tb6date,tb_6,tb7date,tb_7,tb8date,tb_8,tb9date,tb_9,tb10date,tb_10,tb11date,tb_11,tb12date,tb_12,prey1date,prey_1,prey2date,prey_2,prey3date,prey_3,prey4date,prey_4,prey5date,prey_5,prey6date,prey_6,prey7date,prey_7,prey8date,prey_8,prey9date,prey_9,prey10date,prey_10,prey11date,prey_11,prey12date,prey_12,line_date_before,silk_date_before,line_mass_before,silkline_mass_before,silk_mass_before,line_date_bs,silk_date_bs,line_mass_bs,silkline_mass_bs,silk_mass_bs,line_date_as,silk_date_as,line_mass_as,silkline_mass_as,silk_mass_as,line_date_original,silk_date_original,line_mass_original,silkline_mass_original,silk_mass_original
AP011,6/24/21,09:56,silent,silent,28,2,7/25/21,76,cloudy,campus,city,9/2/21,0.0726,72.6,F,FALSE,7/15/21,8/12/21,,,8/12/21,n,n,,y,10/17/21,,40.817125,-96.701284,TRUE,TRUE,TRUE,TRUE,1,7,14,outside,16.3,wintercreeper,Stormed the night before and rained from 9 to 9:30 while collecting,9/5/21,9/8/21,14.22,17.54,3.32,9/5/21,0.81,9/8/21,0.31,9/12/21,0.82,9/15/21,0.47,9/19/21,2,9/22/21,0.56,9/26/21,2.06,9/29/21,0.37,10/3/21,0.44,10/6/21,0.5,10/10/21,0.87,10/13/21,5.16,9/6/21,0.58,9/9/21,0.81,9/13/21,0.63,9/16/21,0.69,9/20/21,7.13,9/23/21,2.28,9/27/21,8.75,9/30/21,0.62,10/4/21,0.69,10/7/21,0.65,10/11/21,1.49,10/14/21,0.63,9/5/21,9/8/21,14.22,17.54,3.32,9/24/21,9/29/21,14.671,19.867,5.1960,10/15/21,10/20/21,14.718,20.859,6.141,11/10/21,11/14/21,15.410,15.529,0.119
AP012,6/24/21,10:00,silent,silent,29,9,7/25/21,76,cloudy,campus,city,9/2/21,0.0739,73.9,F,FALSE,7/15/21,8/19/21,,,8/19/21,n,n,,y,10/14/21,,40.817125,-96.701284,TRUE,TRUE,TRUE,TRUE,9,15,17,outside,15.8,wintercreeper,Stormed the night before and rained from 9 to 9:30 while collecting,9/5/21,9/8/21,14.61,17.63,3.02,9/5/21,30,9/8/21,0.38,9/12/21,0.93,9/15/21,0.62,9/19/21,8.6,9/22/21,0.46,9/26/21,0.59,9/29/21,1.6,10/3/21,0.75,10/6/21,1.07,10/10/21,13.63,10/13/21,0.97,9/6/21,0.72,9/9/21,1.12,9/13/21,0.62,9/16/21,0.66,9/20/21,0.84,9/23/21,1.6,9/27/21,1.19,9/30/21,0.72,10/4/21,15.06,10/7/21,2.5,10/11/21,0.88,10/14/21,17.4,9/5/21,9/8/21,14.61,17.63,3.02,9/24/21,9/29/21,15.152,19.628,4.4760,10/15/21,10/20/21,14.872,19.472,4.600,11/10/21,11/14/21,14.854,15.286,0.432
AP013,6/24/21,10:07,loud,loud,17,8,7/25/21,76,cloudy,campus,city,9/2/21,0.0605,60.5,F,FALSE,7/5/21,7/30/21,8/28/21,,8/28/21,n,n,,y,10/14/21,,40.817125,-96.701284,TRUE,TRUE,TRUE,TRUE,1,2,15,outside,11.4,"wintercreeper, leaf litter",Stormed the night before and rained from 9 to 9:30 while collecting,9/5/21,9/8/21,14.95,16.79,1.84,9/5/21,0.53,9/8/21,0.47,9/12/21,0.34,9/15/21,1.09,9/19/21,0.59,9/22/21,1.25,9/26/21,0.6,9/29/21,0.75,10/4/21,0.41,10/6/21,4.75,10/10/21,15.56,10/13/21,0.5,9/6/21,0.78,9/9/21,0.66,9/13/21,2,9/16/21,0.93,9/20/21,0.82,9/23/21,0.69,9/27/21,5.1,9/30/21,9.37,10/3/21,0.91,10/7/21,2.52,10/11/21,3.53,10/14/21,14.75,9/5/21,9/8/21,14.95,16.79,1.84,9/24/21,9/29/21,15.214,18.422,3.2080,10/15/21,10/20/21,15.600,19.771,4.171,11/10/21,11/14/21,15.280,15.934,0.654
AP014,6/24/21,10:43,quiet,quiet,20,7,7/25/21,79,cloudy,campus,city,9/2/21,0.0722,72.2,M,TRUE,7/5/21,7/31/21,8/31/21,,8/31/21,n,n,,n,,,40.819671,-96.699381,TRUE,TRUE,TRUE,TRUE,1,32,48,outside,17,Eastern red cedar,Stormed the night before and rained from 9 to 9:30 while collecting,9/5/21,9/8/21,14.48,19.45,4.97,9/5/21,0.56,9/8/21,0.5,9/12/21,1.4,9/15/21,0.56,9/19/21,9.41,9/22/21,6.72,9/26/21,24.62,9/29/21,30,10/4/21,30,10/6/21,30,10/10/21,30,10/13/21,0.5,9/6/21,0.78,9/9/21,0.6,9/13/21,8.09,9/16/21,17.28,9/20/21,7.22,9/23/21,4.16,9/27/21,20.72,9/30/21,2.82,10/3/21,5.53,10/7/21,30,10/11/21,5.88,10/14/21,30,9/5/21,9/8/21,14.48,19.45,4.97,9/24/21,9/29/21,14.242,17.202,2.9600,10/15/21,10/20/21,15.038,19.377,4.339,11/10/21,11/14/21,15.175,16.246,1.071
AP015,6/24/21,11:22,silent,silent,21,9,7/25/21,80,cloudy,campus,city,9/2/21,0.0723,72.3,M,TRUE,7/1/21,8/9/21,9/1/21,,9/1/21,n,n,,n,,,40.817298,-96.701353,TRUE,TRUE,TRUE,TRUE,18,6,27,outside,21.5,wintercreeper,Stormed the night before and rained from 9 to 9:30 while collecting,9/5/21,9/8/21,15.14,20.97,5.83,9/5/21,1.68,9/8/21,0.47,9/12/21,0.28,9/15/21,10.22,9/19/21,0.53,9/22/21,0.34,9/26/21,2.97,9/29/21,30,10/3/21,30,10/6/21,30,10/10/21,29.43,10/13/21,30,9/6/21,0.78,9/9/21,1.22,9/13/21,0.69,9/16/21,0.81,9/20/21,0.75,9/23/21,0.72,9/27/21,12.28,9/30/21,0.9,10/4/21,5.81,10/7/21,2.46,10/11/21,0.97,10/14/21,2.37,9/5/21,9/8/21,15.14,20.97,5.83,9/24/21,9/29/21,14.963,18.280,3.3170,10/15/21,10/20/21,15.111,20.969,5.858,11/10/21,11/14/21,15.189,16.709,1.520
AP016,6/25/21,07:35,silent,silent,29,3,7/25/21,71,cloudy,campus,city,9/2/21,0.0721,72.1,M,TRUE,7/15/21,8/9/21,9/1/21,,9/1/21,n,n,,n,,,40.81689,-96.704666,TRUE,TRUE,TRUE,TRUE,6,21,46,outside,21.3,Japanese honeysuckle,Stormed most of the day before,9/5/21,9/8/21,14.76,17.03,2.27,9/5/21,0.54,9/8/21,0.59,9/12/21,0.56,9/15/21,0.75,9/19/21,0.75,9/22/21,1.47,9/26/21,2.16,9/29/21,30,10/3/21,30,10/6/21,30,10/10/21,30,10/13/21,30,9/6/21,0.81,9/9/21,0.78,9/13/21,1.75,9/16/21,19.65,9/20/21,28.28,9/23/21,10.91,9/27/21,13.53,9/30/21,15.41,10/4/21,5.52,10/7/21,30,10/11/21,30,10/14/21,30,9/5/21,9/8/21,14.76,17.03,2.27,9/24/21,9/29/21,14.894,18.301,3.4070,10/15/21,10/20/21,14.811,16.176,1.365,11/10/21,11/14/21,15.097,16.101,1.004
AP017,6/25/21,08:02,loud,loud,26,5,7/25/21,72,cloudy,campus,city,9/2/21,0.0774,77.4,M,TRUE,7/5/21,8/9/21,9/5/21,,9/5/21,n,n,,n,,,40.817102,-96.704122,TRUE,TRUE,TRUE,TRUE,2,16,36,outside,29.8,wintercreeper,Stormed most of the day before,9/5/21,9/8/21,15,21.08,6.08,9/5/21,0.34,9/8/21,0.21,9/12/21,0.31,9/15/21,0.41,9/19/21,1.31,9/22/21,0.9,9/26/21,2.12,9/29/21,0.5,10/3/21,8.78,10/6/21,18.5,10/10/21,16.25,10/13/21,16.35,9/6/21,0.94,9/9/21,0.69,9/13/21,0.69,9/16/21,0.75,9/20/21,0.94,9/23/21,2.75,9/27/21,8.37,9/30/21,3.4,10/4/21,2.4,10/7/21,7.28,10/11/21,2.84,10/14/21,4.4,9/5/21,9/8/21,15.00,21.08,6.08,9/24/21,9/29/21,15.067,17.300,2.2330,10/15/21,10/20/21,15.052,17.519,2.467,11/10/21,11/14/21,15.259,15.758,0.499
AP018,6/25/21,08:05,quiet,quiet,1,5,7/25/21,72,cloudy,campus,city,9/2/21,0.1503,150.3,F,FALSE,8/3/21,8/28/21,,,8/28/21,n,n,,n,,,40.817102,-96.704122,TRUE,TRUE,TRUE,TRUE,6,17,25,outside,48.6,wintercreeper,Stormed most of the day before,9/4/21,9/7/21,15.1,20.3,5.2,9/4/21,1.59,9/7/21,0.78,9/11/21,0.6,9/14/21,0.84,9/18/21,6,9/21/21,1.47,9/25/21,9.75,9/28/21,1.31,10/2/21,0.44,10/5/21,2.19,10/9/21,1.03,10/12/21,0.32,9/5/21,0.84,9/8/21,1.19,9/12/21,0.66,9/15/21,1.97,9/19/21,29.43,9/22/21,0.97,9/26/21,6.28,9/29/21,0.63,10/3/21,0.78,10/6/21,0.6,10/10/21,1.15,10/13/21,1.34,9/4/21,9/7/21,15.10,20.30,5.20,9/24/21,9/28/21,14.871,22.632,7.7610,10/15/21,10/19/21,14.786,21.677,6.891,11/10/21,11/14/21,15.089,16.295,1.206
AP019,6/25/21,08:32,loud,loud,27,2,7/25/21,72,cloudy,campus,city,9/2/21,0.0914,91.4,M,TRUE,7/20/21,8/12/21,9/5/21,,9/5/21,n,n,,n,,,40.819076,-96.705333,TRUE,TRUE,TRUE,TRUE,2,5,7,outside,15.1,"twigs, leaf litter",Stormed most of the day before,9/5/21,9/8/21,14.62,20.13,5.51,9/5/21,1.22,9/8/21,0.53,9/12/21,0.75,9/15/21,0.57,9/19/21,0.66,9/22/21,0.93,9/26/21,0.78,9/29/21,0.56,10/3/21,0.69,10/6/21,0.34,10/10/21,0.5,10/13/21,1.71,9/6/21,0.75,9/9/21,0.9,9/13/21,0.75,9/16/21,6.16,9/20/21,0.66,9/23/21,0.6,9/27/21,6.5,9/30/21,1.18,10/4/21,1.31,10/7/21,0.88,10/11/21,30,10/14/21,20.16,9/5/21,9/8/21,14.62,20.13,5.51,9/24/21,9/29/21,14.804,18.857,4.0530,10/15/21,10/20/21,14.641,18.265,3.624,11/10/21,11/14/21,15.317,16.613,1.296
AP020,6/25/21,08:39,quiet,quiet,6,1,7/25/21,72,cloudy,campus,city,9/2/21,0.0743,74.3,M,TRUE,7/5/21,7/15/21,8/9/21,8/31/21,8/31/21,n,y,10/18/21,n,,,40.819076,-96.705333,TRUE,TRUE,TRUE,TRUE,2,3,5,outside,15.8,"twigs, leaf litter",Stormed most of the day before,9/4/21,9/7/21,15.51,21.12,5.61,9/4/21,5.66,9/7/21,1.28,9/11/21,30,9/14/21,30,9/18/21,30,9/21/21,30,9/25/21,30,9/28/21,1.56,10/2/21,30,10/5/21,30,10/9/21,30,10/12/21,0.75,9/5/21,0.78,9/8/21,0.81,9/12/21,0.78,9/15/21,2.44,9/19/21,12.09,9/22/21,30,9/26/21,30,9/29/21,7.15,10/3/21,9.81,10/6/21,1.1,10/10/21,30,10/13/21,10.18,9/4/21,9/7/21,15.51,21.12,5.61,9/24/21,9/28/21,14.976,21.183,6.2070,10/15/21,10/19/21,15.182,17.948,2.766,11/10/21,11/14/21,15.017,15.785,0.768
AP021,6/25/21,08:47,loud,loud,27,1,7/25/21,73,cloudy,campus,city,9/2/21,0.08,80,M,TRUE,6/30/21,8/6/21,8/31/21,,8/31/21,n,n,,n,,,40.819076,-96.705333,TRUE,TRUE,TRUE,TRUE,1,4,7,outside,17.3,"twigs, leaf litter",Stormed most of the day before,9/5/21,9/8/21,14.76,19.86,5.1,9/5/21,6,9/8/21,0.37,9/12/21,2.06,9/15/21,0.93,9/19/21,0.75,9/22/21,2.22,9/26/21,4.03,9/29/21,0.57,10/3/21,30,10/6/21,30,10/10/21,4.66,10/13/21,5.28,9/6/21,0.6,9/9/21,0.68,9/13/21,28.4,9/16/21,0.78,9/20/21,0.84,9/23/21,6.07,9/27/21,15.22,9/30/21,1.13,10/4/21,0.78,10/7/21,2.66,10/11/21,0.75,10/14/21,8.71,9/5/21,9/8/21,14.76,19.86,5.10,9/24/21,9/29/21,14.881,18.203,3.3220,10/15/21,10/20/21,14.402,19.767,5.365,11/10/21,11/14/21,14.803,14.916,0.113
AP022,6/25/21,08:50,quiet,loud,10,9,7/25/21,73,cloudy,campus,city,9/2/21,0.1113,111.3,F,FALSE,8/28/21,,,,8/28/21,y,n,,n,,,40.819076,-96.705333,TRUE,TRUE,TRUE,TRUE,1,5,11,outside,42.8,wintercreeper,Stormed most of the day before,9/4/21,9/7/21,15.17,22.95,7.78,9/4/21,0.93,9/7/21,0.37,9/11/21,0.44,9/14/21,1.25,9/18/21,0.85,9/21/21,0.47,9/25/21,0.75,9/28/21,0.81,10/2/21,1.09,10/5/21,1.32,10/9/21,4.5,10/12/21,2.31,9/5/21,0.91,9/8/21,1.69,9/12/21,8.22,9/15/21,0.69,9/19/21,0.69,9/22/21,0.62,9/26/21,2.6,9/29/21,6.13,10/3/21,14.5,10/6/21,1.19,10/10/21,3.47,10/13/21,5.75,9/4/21,9/7/21,15.17,22.95,7.78,9/24/21,9/29/21,15.167,29.784,14.6170,10/15/21,10/20/21,14.736,27.675,12.939,11/10/21,11/14/21,15.355,17.816,2.461
AP023,6/25/21,09:08,silent,silent,30,8,7/25/21,73,cloudy,campus,city,9/2/21,0.0828,82.8,F,FALSE,7/5/21,8/12/21,,,8/12/21,n,n,,y,10/17/21,,40.819633,-96.706559,TRUE,TRUE,TRUE,TRUE,1,20,152,outside,26.3,spindle tree,Stormed most of the day before,9/5/21,9/8/21,15.06,24.08,9.02,9/5/21,0.47,9/8/21,0.5,9/12/21,25,9/15/21,0.85,9/19/21,0.56,9/22/21,0.47,9/26/21,0.62,9/29/21,1.85,10/3/21,5.6,10/6/21,0.88,10/10/21,0.84,10/13/21,0.47,9/6/21,8.81,9/9/21,0.78,9/13/21,21.69,9/16/21,2.6,9/20/21,0.53,9/23/21,0.66,9/27/21,3.87,9/30/21,1.84,10/4/21,6.07,10/7/21,0.96,10/11/21,1.21,10/14/21,0.75,9/5/21,9/8/21,15.06,24.08,9.02,9/24/21,9/29/21,15.061,22.864,7.8030,10/15/21,10/20/21,14.903,21.607,6.704,11/10/21,11/14/21,15.343,16.589,1.246
AP024,6/25/21,09:13,silent,silent,30,1,7/25/21,73,cloudy,campus,city,9/2/21,0.0603,60.3,M,FALSE,8/3/21,8/28/21,,,8/28/21,n,y,10/18/21,n,,,40.819633,-96.706559,TRUE,TRUE,TRUE,TRUE,2,25,96,outside,12.4,spindle tree,Stormed most of the day before,9/5/21,9/8/21,15.07,17.33,2.26,9/5/21,30,9/8/21,30,9/12/21,30,9/15/21,0.65,9/19/21,0.91,9/22/21,30,9/26/21,1.85,9/29/21,30,10/3/21,30,10/6/21,30,10/10/21,30,10/13/21,30,9/6/21,30,9/9/21,3.18,9/13/21,1.56,9/16/21,12.56,9/20/21,0.72,9/23/21,3.1,9/27/21,6.84,9/30/21,0.94,10/4/21,30,10/7/21,30,10/11/21,20.75,10/14/21,30,9/5/21,9/8/21,15.07,17.33,2.26,9/24/21,9/29/21,15.189,19.584,4.3950,10/15/21,10/20/21,15.079,15.430,0.351,11/10/21,11/14/21,15.447,16.107,0.660
AP025,6/25/21,09:20,,,,,,73,cloudy,campus,city,9/2/21,0.117,117,F,FALSE,7/20/21,8/16/21,,,8/16/21,y,n,,n,,,40.819633,-96.706559,TRUE,TRUE,TRUE,TRUE,7,11,17,outside,34.3,wintercreeper,Stormed most of the day before,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.0000,,,,,0.000,,,,,0.000
AP026,6/25/21,09:25,,,,,,73,cloudy,campus,city,9/2/21,,,F,FALSE,,,,,,n,y,,n,,,40.819633,-96.706559,TRUE,TRUE,TRUE,TRUE,1,63,152,outside,15,spindle tree,"Stormed most of the day before, missing ",,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,0.0000,,,,,0.000,,,,,0.000
AP027,6/25/21,09:28,quiet,quiet,18,9,7/25/21,73,cloudy,campus,city,9/2/21,0.1342,134.2,F,FALSE,7/5/21,7/23/21,8/12/21,9/1/21,9/1/21,n,n,,n,,,40.819633,-96.706559,TRUE,TRUE,TRUE,TRUE,1,8,27,outside,15.3,wintercreeper,Stormed most of the day before,9/5/21,9/8/21,14.89,18.88,3.99,9/5/21,0.53,9/8/21,0.44,9/12/21,0.53,9/15/21,0.65,9/19/21,1.29,9/22/21,1.03,9/26/21,0.37,9/29/21,0.44,10/4/21,0.59,10/6/21,0.81,10/10/21,0.85,10/13/21,2.85,9/6/21,1.12,9/9/21,0.72,9/13/21,0.68,9/16/21,26.81,9/20/21,0.88,9/23/21,1.31,9/27/21,0.78,9/30/21,1.03,10/3/21,0.57,10/7/21,0.75,10/11/21,1.37,10/14/21,30,9/5/21,9/8/21,14.89,18.88,3.99,9/24/21,9/29/21,14.790,21.926,7.1360,10/15/21,10/20/21,14.934,21.790,6.856,11/10/21,11/14/21,15.766,16.860,1.094
