SpiderID,Site,Age,iterations,treatment,bin,playback,concatenated,maturation_date,start_date,trial_age,mass_mg,ceph_width_mm,attachments,line_mg,line_wet_mg,line_dry_mg,wet_mg,dry_mg,moisture_per
ap063,Isolated,56,13,Quiet,2,2,ap063_2_Quiet_p2,7/9/23,10/27/23,110,129.5,3.177,,11.754,12.523,12.428,0.769,0.674,12.35370611
ap064,Isolated,52,14,Loud,5,3,ap064_5_Loud_p3,7/9/23,10/31/23,114,143.3,3.277,,12.345,12.754,12.697,0.409,0.352,13.93643032
ap065,Isolated,50,14,Quiet,6,8,ap065_6_Quiet_p8,7/9/23,10/31/23,114,108.2,3.19,,12.002,12.2,12.188,0.198,0.186,6.060606061
ap068,Isolated,52,14,Loud,4,2,ap068_4_Loud_p2,7/10/23,10/31/23,113,143.2,3.785,,12.002,12.188,12.148,0.186,0.146,21.50537634
ap071,Isolated,68,11,Loud,1,7,ap071_1_Loud_p7,7/10/23,10/19/23,101,86.2,3.056,,12.09,12.207,12.153,0.117,0.063,46.15384615
ap072,Isolated,61,12,Loud,1,1,ap072_1_Loud_p1,7/10/23,10/23/23,105,129.5,3.749,,12.422,13.951,13.471,1.529,1.049,31.39306736
ap074,Isolated,74,12,Loud,2,9,ap074_2_Loud_p9,7/10/23,10/23/23,105,113.4,3.752,,12.504,12.954,12.8,0.45,0.296,34.22222222
ap077,Isolated,64,11,Quiet,3,4,ap077_3_Quiet_p4,7/10/23,10/19/23,101,188.5,3.943,,11.861,12.784,12.527,0.923,0.666,27.843987
ap078,Isolated,59,14,Loud,3,5,ap078_3_Loud_p5,7/10/23,10/31/23,113,149,3.848,,12.255,12.413,12.365,0.158,0.11,30.37974684
ap085,Isolated,50,14,Quiet,1,3,ap085_1_Quiet_p3,7/17/23,10/31/23,106,69.6,3.117,,12.289,12.764,12.68,0.475,0.391,17.68421053
ap140,Rural,25,1,Quiet,5,7,ap140_5_Quiet_p7,8/11/23,9/7/23,27,155,3.878,,12.062,14.391,14.229,2.329,2.167,6.955775011
ap141,Rural,13,7,Loud,1,2,ap141_1_Loud_p2,8/23/23,9/29/23,37,106.7,3.281,,12.076,14.614,14.037,2.538,1.961,22.73443656
ap143,Rural,13,7,Quiet,4,3,ap143_4_Quiet_p3,8/23/23,9/30/23,38,74.3,2.835,,12.138,12.585,12.477,0.447,0.339,24.16107383
ap144,Rural,8,10,Quiet,3,4,ap144_3_Quiet_p4,8/28/23,10/12/23,45,95,2.851,,12.185,12.447,12.424,0.262,0.239,8.778625954
ap145,Rural,11,8,Quiet,4,9,ap145_4_Quiet_p9,8/25/23,10/4/23,40,97.8,2.94,,11.674,12.085,11.963,0.411,0.289,29.6836983
ap146,Rural,13,6,Loud,3,6,ap146_3_Loud_p6,8/23/23,9/26/23,34,105.3,3.145,,12.166,13.166,12.943,1,0.777,22.3
ap147,Rural,11,9,Quiet,5,5,ap147_5_Quiet_p5,8/25/23,10/9/23,45,77.7,2.983,,12.156,13.622,12.94,1.466,0.784,46.52114598
ap148,Rural,16,2,Loud,2,6,ap148_2_Loud_p6,8/20/23,9/9/23,20,123.2,2.913,Y,11.774,12.799,12.75,1.025,0.976,4.780487805
ap150,Rural,3,10,Loud,5,4,ap150_5_Loud_p4,9/2/23,10/13/23,41,93.3,2.91,,12.641,13.949,13.359,1.308,0.718,45.10703364
ap151,Rural,20,1,Loud,1,5,ap151_1_Loud_p5,8/16/23,9/5/23,20,92.3,3.272,,12.287,14.981,14.657,2.694,2.37,12.02672606
ap152,Rural,20,1,Loud,3,4,ap152_3_Loud_p4,8/16/23,9/6/23,21,103.4,3.209,Y,12.033,13.909,13.388,1.876,1.355,27.77185501
ap154,Rural,13,6,Quiet,4,1,ap154_4_Quiet_p1,8/23/23,9/26/23,34,118,3.017,,12.07,13.303,12.91,1.233,0.84,31.87347932
ap155,Rural,16,2,Quiet,4,9,ap155_4_Quiet_p9,8/20/23,9/10/23,21,96,3.084,,11.816,12.673,12.653,0.857,0.837,2.333722287
ap156,Rural,16,4,Quiet,5,1,ap156_5_Quiet_p1,8/20/23,9/19/23,30,95.6,2.724,,11.911,13.296,13.193,1.385,1.282,7.436823105
ap157,Rural,13,5,Quiet,2,5,ap157_2_Quiet_p5,8/23/23,9/21/23,29,97.6,2.881,,12.063,13.132,13.071,1.069,1.008,5.70626754
ap159,Rural,13,7,Loud,5,8,ap159_5_Loud_p8,8/23/23,10/1/23,39,124.5,2.852,,12.445,13.347,12.822,0.902,0.377,58.20399113
ap160,Rural,16,4,Quiet,4,6,ap160_4_Quiet_p6,8/20/23,9/18/23,29,96.9,2.785,,12.016,13.552,13.249,1.536,1.233,19.7265625
ap165,Rural,16,3,Quiet,1,8,ap165_1_Quiet_p8,8/20/23,9/13/23,24,109.2,3.428,,12.305,12.807,12.747,0.502,0.442,11.95219124
ap167,Rural,16,3,Loud,3,3,ap167_3_Loud_p3,8/20/23,9/14/23,25,107.5,2.864,,11.914,13.364,12.786,1.45,0.872,39.86206897
ap168,Rural,13,5,Loud,1,9,ap168_1_Loud_p9,8/23/23,9/21/23,29,88.7,3.036,,11.754,13.943,13.67,2.189,1.916,12.47144815
ap169,Rural,16,2,Quiet,3,10,ap169_3_Quiet_p10,8/20/23,9/10/23,21,96.8,3.022,,11.747,12.178,12.164,0.431,0.417,3.248259861
ap170,Rural,12,8,Quiet,1,2,ap170_1_Quiet_p2,8/24/23,10/3/23,40,124.7,3.068,,12.593,12.84,12.809,0.247,0.216,12.55060729
ap171,Rural,13,5,Loud,4,3,ap171_4_Loud_p3,8/23/23,9/22/23,30,124.5,2.992,,12.156,13.567,13.427,1.411,1.271,9.922041106
ap173,Rural,11,9,Loud,6,10,ap173_6_Loud_p10,8/25/23,10/9/23,45,95.6,2.779,,12.325,12.745,12.598,0.42,0.273,35
ap174,Rural,16,3,Loud,6,7,ap174_6_Loud_p7,8/20/23,9/15/23,26,177.6,4.023,,12.057,16.728,15.532,4.671,3.475,25.60479555
ap175,Rural,11,8,Loud,3,10,ap175_3_Loud_p10,8/25/23,10/4/23,40,79.6,2.938,,12.275,12.335,12.307,0.06,0.032,46.66666667
ap176,Rural,8,9,Loud,4,2,ap176_4_Loud_p2,8/28/23,10/8/23,41,132.3,3.664,,12.426,13.559,13.133,1.133,0.707,37.59929391
ap178,Rural,8,10,Quiet,2,7,ap178_2_Quiet_p7,8/28/23,10/11/23,44,137.3,3.255,,12.828,13.715,13.535,0.887,0.707,20.29312289
ap179,Rural,13,6,Quiet,5,8,ap179_5_Quiet_p8,8/23/23,9/27/23,35,94.8,2.747,,11.866,13.028,12.816,1.162,0.95,18.2444062
ap180,Rural,16,4,Loud,3,1,ap180_3_Loud_p1,8/20/23,9/18/23,29,111.4,2.916,,12.014,13.658,13.467,1.644,1.453,11.61800487
ap088,Urban,10,9,Loud,2,4,ap088_2_Loud_p4,8/26/23,10/7/23,42,106.6,3.125,,11.92,12.559,12.37,0.639,0.45,29.57746479
ap089,Urban,13,8,Quiet,2,2,ap089_2_Quiet_p2,8/23/23,10/3/23,41,141.4,3.395,,12.106,15.683,13.859,3.577,1.753,50.99245178
ap090,Urban,23,1,Quiet,6,3,ap090_6_Quiet_p3,8/13/23,9/7/23,25,66.1,2.832,,11.816,12.443,12.377,0.627,0.561,10.52631579
ap097,Urban,,11,Loud,5,6,ap097_5_Loud_p6,9/9/23,10/19/23,40,135.8,3.785,,12.087,12.632,12.396,0.545,0.309,43.30275229
ap098,Urban,13,8,Quiet,5,6,ap098_5_Quiet_p6,8/23/23,10/5/23,43,143.5,3.675,,11.512,11.788,11.736,0.276,0.224,18.84057971
ap101,Urban,8,10,Quiet,4,3,ap101_4_Quiet_p3,8/28/23,10/12/23,45,143.2,3.654,,12.224,13.139,12.765,0.915,0.541,40.87431694
ap102,Urban,13,7,Loud,6,5,ap102_6_Loud_p5,8/23/23,10/1/23,39,141.4,3.944,,12.011,13.476,12.862,1.465,0.851,41.9112628
ap105,Urban,20,3,Quiet,4,5,ap105_4_Quiet_p5,8/16/23,9/14/23,29,132.2,3.571,,12.233,12.758,12.735,0.525,0.502,4.380952381
ap106,Urban,16,4,Quiet,2,1,ap106_2_Quiet_p1,8/20/23,9/17/23,28,171.3,3.874,,11.856,15.229,14.12,3.373,2.264,32.87874296
ap107,Urban,22,2,Loud,1,1,ap107_1_Loud_p1,8/14/23,9/9/23,26,139.4,3.155,,12.127,13.914,13.415,1.787,1.288,27.9238948
ap109,Urban,13,7,Loud,2,5,ap109_2_Loud_p5,8/23/23,9/29/23,37,116.1,3.312,,12.022,13.175,13.041,1.153,1.019,11.62185603
ap110,Urban,22,2,Quiet,6,4,ap110_6_Quiet_p4,8/14/23,9/11/23,28,121.2,3.522,,12.083,12.886,12.739,0.803,0.656,18.30635118
ap111,Urban,13,7,Quiet,3,10,ap111_3_Quiet_p10,8/23/23,9/30/23,38,147.4,3.77,,12.478,12.902,12.674,0.424,0.196,53.77358491
ap113,Urban,16,3,Loud,5,8,ap113_5_Loud_p8,8/20/23,9/15/23,26,143,3.58,,12.584,13.076,12.969,0.492,0.385,21.74796748
ap114,Urban,13,6,Loud,1,10,ap114_1_Loud_p10,8/23/23,9/25/23,33,111.9,3.042,,12.045,14.488,13.984,2.443,1.939,20.63037249
ap115,Urban,23,1,Loud,2,2,ap115_2_Loud_p2,8/13/23,9/5/23,23,128.4,3.614,,12.136,12.78,12.641,0.644,0.505,21.58385093
ap116,Urban,11,9,Quiet,1,8,ap116_1_Quiet_p8,8/25/23,10/7/23,43,112.3,3.278,,11.926,12.56,12.477,0.634,0.551,13.09148265
ap117,Urban,13,6,Quiet,2,4,ap117_2_Quiet_p4,8/23/23,9/25/23,33,91.7,2.591,,12.116,12.648,12.588,0.532,0.472,11.27819549
ap118,Urban,13,6,Quiet,6,2,ap118_6_Quiet_p2,8/23/23,9/27/23,35,129.5,3.422,,12.247,14.162,13.941,1.915,1.694,11.54046997
ap119,Urban,13,5,Loud,3,9,ap119_3_Loud_p9,8/23/23,9/22/23,30,117.4,2.934,,12.717,12.901,12.847,0.184,0.13,29.34782609
ap122,Urban,13,5,Loud,6,7,ap122_6_Loud_p7,8/23/23,9/23/23,31,123.4,3.337,,12.047,13.138,12.752,1.091,0.705,35.38038497
ap124,Urban,13,5,Quiet,5,7,ap124_5_Quiet_p7,8/23/23,9/23/23,31,135.5,3.429,,12.212,14.536,13.865,2.324,1.653,28.87263339
ap125,Urban,11,8,Loud,6,7,ap125_6_Loud_p7,8/25/23,10/5/23,41,111.9,3.137,,12.032,12.173,12.159,0.141,0.127,9.929078014
ap128,Urban,0,10,Loud,6,1,ap128_6_Loud_p1,9/5/23,10/13/23,38,126,3.525,,12.173,13.494,13.392,1.321,1.219,7.721423164
ap130,Urban,23,1,Loud,4,8,ap130_4_Loud_p8,8/13/23,9/6/23,24,130.5,3.506,,11.741,11.875,11.835,0.134,0.094,29.85074627
ap131,Urban,13,4,Loud,1,9,ap131_1_Loud_p9,8/23/23,9/17/23,25,96.6,3.014,,12.301,13.931,13.648,1.63,1.347,17.36196319
ap132,Urban,8,10,Quiet,1,9,ap132_1_Quiet_p9,8/28/23,10/11/23,44,57.5,2.938,,12.145,12.367,12.31,0.222,0.165,25.67567568
ap134,Urban,16,3,Loud,2,3,ap134_2_Loud_p3,8/20/23,9/13/23,24,84.3,3.011,Y,12.482,12.938,12.892,0.456,0.41,10.0877193
ap136,Urban,22,2,Quiet,5,10,ap136_5_Quiet_p10,8/14/23,9/11/23,28,94.3,3.039,,12.069,14.054,13.637,1.985,1.568,21.00755668
ap138,Urban,13,4,Quiet,6,6,ap138_6_Quiet_p6,8/23/23,9/19/23,27,86.9,3.129,,11.996,12.938,12.822,0.942,0.826,12.31422505
